Image Label,IoU Score
Week2_and_Week3_1.png,0.9228
Week2_and_Week3_10.png,0.8909
Week2_and_Week3_11.png,0.9111
Week2_and_Week3_12.png,0.9184
Week2_and_Week3_13.png,0.9200
Week2_and_Week3_14.png,0.9195
Week2_and_Week3_15.png,0.9386
Week2_and_Week3_16.png,0.9193
Week2_and_Week3_17.png,0.9154
Week2_and_Week3_18.png,0.9305
Week2_and_Week3_19.png,0.9027
Week2_and_Week3_2.png,0.9221
Week2_and_Week3_20.png,0.8996
Week2_and_Week3_21.png,0.9473
Week2_and_Week3_22.png,0.9460
Week2_and_Week3_23.png,0.9466
Week2_and_Week3_24.png,0.9496
Week2_and_Week3_25.png,0.9137
Week2_and_Week3_26.png,0.8878
Week2_and_Week3_27.png,0.8901
Week2_and_Week3_28.png,0.8828
Week2_and_Week3_29.png,0.9349
Week2_and_Week3_3.png,0.9326
Week2_and_Week3_30.png,0.9357
Week2_and_Week3_31.png,0.7645
Week2_and_Week3_32.png,0.8368
Week2_and_Week3_33.png,0.8776
Week2_and_Week3_34.png,0.9110
Week2_and_Week3_35.png,0.8643
Week2_and_Week3_36.png,0.8357
Week2_and_Week3_37.png,0.9329
Week2_and_Week3_38.png,0.8871
Week2_and_Week3_39.png,0.9154
Week2_and_Week3_4.png,0.9079
Week2_and_Week3_40.png,0.9163
Week2_and_Week3_5.png,0.8851
Week2_and_Week3_6.png,0.8712
Week2_and_Week3_7.png,0.8984
Week2_and_Week3_8.png,0.8826
Week2_and_Week3_9.png,0.8688
Week3_and_Week4_1.png,0.9128
Week3_and_Week4_10.png,0.8742
Week3_and_Week4_11.png,0.8496
Week3_and_Week4_12.png,0.8341
Week3_and_Week4_13.png,0.8419
Week3_and_Week4_14.png,0.8081
Week3_and_Week4_15.png,0.7852
Week3_and_Week4_16.png,0.7855
Week3_and_Week4_17.png,0.8870
Week3_and_Week4_18.png,0.8555
Week3_and_Week4_19.png,0.9042
Week3_and_Week4_2.png,0.8828
Week3_and_Week4_20.png,0.8758
Week3_and_Week4_21.png,0.8439
Week3_and_Week4_22.png,0.8246
Week3_and_Week4_23.png,0.8133
Week3_and_Week4_24.png,0.8126
Week3_and_Week4_25.png,0.8633
Week3_and_Week4_26.png,0.8580
Week3_and_Week4_27.png,0.8861
Week3_and_Week4_28.png,0.8733
Week3_and_Week4_29.png,0.8531
Week3_and_Week4_3.png,0.8681
Week3_and_Week4_30.png,0.8244
Week3_and_Week4_31.png,0.9037
Week3_and_Week4_32.png,0.8864
Week3_and_Week4_33.png,0.9185
Week3_and_Week4_34.png,0.8574
Week3_and_Week4_35.png,0.8942
Week3_and_Week4_36.png,0.8963
Week3_and_Week4_37.png,0.8549
Week3_and_Week4_38.png,0.8636
Week3_and_Week4_39.png,0.8919
Week3_and_Week4_4.png,0.8740
Week3_and_Week4_40.png,0.8434
Week3_and_Week4_5.png,0.8499
Week3_and_Week4_6.png,0.8538
Week3_and_Week4_7.png,0.8097
Week3_and_Week4_8.png,0.8092
Week3_and_Week4_9.png,0.9164
Week4_and_Week5_1.png,0.9298
Week4_and_Week5_10.png,0.9190
Week4_and_Week5_11.png,0.9038
Week4_and_Week5_12.png,0.8726
Week4_and_Week5_13.png,0.9223
Week4_and_Week5_14.png,0.8987
Week4_and_Week5_15.png,0.9166
Week4_and_Week5_16.png,0.9192
Week4_and_Week5_17.png,0.8796
Week4_and_Week5_18.png,0.9008
Week4_and_Week5_19.png,0.9440
Week4_and_Week5_2.png,0.9518
Week4_and_Week5_20.png,0.9265
Week4_and_Week5_21.png,0.9268
Week4_and_Week5_22.png,0.9329
Week4_and_Week5_23.png,0.9360
Week4_and_Week5_24.png,0.9443
Week4_and_Week5_25.png,0.8995
Week4_and_Week5_26.png,0.9019
Week4_and_Week5_27.png,0.9380
Week4_and_Week5_28.png,0.9257
Week4_and_Week5_29.png,0.9442
Week4_and_Week5_3.png,0.9308
Week4_and_Week5_30.png,0.9494
Week4_and_Week5_31.png,0.9013
Week4_and_Week5_32.png,0.9234
Week4_and_Week5_33.png,0.9076
Week4_and_Week5_34.png,0.9166
Week4_and_Week5_35.png,0.9351
Week4_and_Week5_36.png,0.9285
Week4_and_Week5_37.png,0.9273
Week4_and_Week5_38.png,0.9268
Week4_and_Week5_39.png,0.9240
Week4_and_Week5_4.png,0.9330
Week4_and_Week5_40.png,0.9252
Week4_and_Week5_5.png,0.9277
Week4_and_Week5_6.png,0.9332
Week4_and_Week5_7.png,0.8987
Week4_and_Week5_8.png,0.8825
Week4_and_Week5_9.png,0.9180
